time,latitude,longitude,depth,mag,magType,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-12-02 02:26:57.631000+00:00,50.9884,179.6145,10.0,5.3,mww,49.0,0.9129999999999999,0.8,us,us6000g8cc,2021-12-02 02:44:42.439000+00:00,"278 km WSW of Adak, Alaska",earthquake,6.4,1.9,0.06,27.0,reviewed,us,us
2021-12-02 02:03:33.070000+00:00,19.501167300000002,-155.6591644,2.789999962,3.18,ml,55.0,,0.21999999899999997,hv,hv72819152,2021-12-02 02:40:58.338000+00:00,"22 km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.4,0.550000012,3.41,36.0,automatic,hv,hv
2021-12-02 01:04:11.579000+00:00,60.0464,-141.5958,3.8,3.1,ml,,,0.81,ak,ak021ffp6x9q,2021-12-02 01:17:39.055000+00:00,"118 km WNW of Yakutat, Alaska",earthquake,,0.2,,,automatic,ak,ak
2021-12-02 00:47:12.770000+00:00,19.20266724,-155.3966675,31.89999962,2.67000008,md,172.0,,0.09000000400000001,hv,hv72819057,2021-12-02 00:50:25.360000+00:00,"8 km E of P?hala, Hawaii",earthquake,0.7,0.860000014,0.910000026,5.0,automatic,hv,hv
2021-12-01 23:55:08.176000+00:00,54.9852,-157.5245,15.5,3.8,ml,,,0.63,ak,ak021fef219j,2021-12-02 00:50:54.392000+00:00,"145 km SE of Perryville, Alaska",earthquake,,1.0,,,reviewed,ak,ak
2021-12-01 22:30:46.035000+00:00,12.5946,-89.4101,10.0,4.7,mb,170.0,1.053,0.9,us,us6000g8aj,2021-12-02 02:15:21.040000+00:00,"99 km S of La Libertad, El Salvador",earthquake,7.3,2.0,0.078,50.0,reviewed,us,us
2021-12-01 22:08:02.280000+00:00,17.9903,-66.765,14.0,2.91,md,166.0,0.1152,0.23,pr,pr2021335004,2021-12-01 23:55:46.695000+00:00,"3 km S of Magas Arriba, Puerto Rico",earthquake,0.55,0.64,0.21,9.0,reviewed,pr,pr
2021-12-01 20:20:29.264000+00:00,-60.0125,-24.0763,10.0,4.9,mb,192.0,8.85,0.61,us,us6000g89s,2021-12-01 20:36:28.040000+00:00,,earthquake,16.1,2.0,0.094,35.0,reviewed,us,us
2021-12-01 18:25:41.673000+00:00,-19.2616,-69.2241,118.48,4.7,mwr,82.0,0.405,0.92,us,us6000g895,2021-12-01 21:35:52.173000+00:00,"142 km SE of Arica, Chile",earthquake,5.9,1.4,,,reviewed,us,guc
2021-12-01 17:23:01.894000+00:00,-10.3692,161.3168,40.06,5.3,mww,18.0,1.635,0.94,us,us6000g88z,2021-12-01 19:09:36.040000+00:00,"66 km W of Kirakira, Solomon Islands",earthquake,7.8,4.6,0.083,14.0,reviewed,us,us
2021-12-01 16:58:38.264000+00:00,36.2037,140.0476,68.06,5.0,mww,106.0,1.521,0.67,us,us6000g88v,2021-12-02 02:18:04.522000+00:00,"4 km W of Tsukuba, Japan",earthquake,6.9,6.1,0.09300000000000001,11.0,reviewed,us,us
2021-12-01 15:24:12.586000+00:00,61.2677,-139.0179,0.2,2.9,ml,,,1.23,ak,ak021fea3xrq,2021-12-01 15:33:37.871000+00:00,"Southern Yukon Territory, Canada",earthquake,,1.0,,,automatic,ak,ak
2021-12-01 14:31:36.768000+00:00,40.314,140.86,7.72,4.5,mb,126.0,0.499,1.59,us,us6000g874,2021-12-01 16:45:43.040000+00:00,"15 km NNE of Hanawa, Japan",earthquake,5.7,4.8,0.204,7.0,reviewed,us,us
2021-12-01 12:50:37.420000+00:00,19.2218,-67.74600000000001,31.0,3.34,md,256.0,0.8788,0.47,pr,pr2021335003,2021-12-01 13:28:35.927000+00:00,"99 km NE of Punta Cana, Dominican Republic",earthquake,2.45,23.49,0.08,11.0,reviewed,pr,pr
2021-12-01 11:30:11.454000+00:00,31.0599,142.4848,10.0,4.5,mb,136.0,3.056,1.0,us,us6000g86m,2021-12-01 12:17:12.040000+00:00,"Izu Islands, Japan region",earthquake,8.3,1.9,0.127,18.0,reviewed,us,us
2021-12-01 10:22:33.338000+00:00,35.2198,141.4438,10.0,4.8,mb,135.0,2.496,0.9,us,us6000g85y,2021-12-01 10:40:02.040000+00:00,"79 km SE of Hasaki, Japan",earthquake,3.8,1.9,0.121,21.0,reviewed,us,us
2021-12-01 09:49:15.760000+00:00,31.2648,142.4128,10.0,4.8,mb,92.0,2.873,0.45,us,us6000g85x,2021-12-01 10:30:23.040000+00:00,"Izu Islands, Japan region",earthquake,9.9,1.9,0.061,82.0,reviewed,us,us
2021-12-01 09:18:09.221000+00:00,-7.4316,128.3818,124.49,4.3,mb,82.0,2.9419999999999997,0.55,us,us6000g85t,2021-12-01 10:13:49.040000+00:00,"194 km NE of Lospalos, Timor Leste",earthquake,8.1,5.8,0.113,22.0,reviewed,us,us
2021-12-01 08:56:17.322000+00:00,31.997,-103.8535,5.0,2.8,ml,45.0,0.165,0.31,us,us6000g85p,2021-12-01 21:27:46.182000+00:00,"32 km SE of Malaga, New Mexico",earthquake,1.4,1.9,0.077,22.0,reviewed,us,us
2021-12-01 08:46:18.499000+00:00,-23.5083,-66.9942,224.78,4.4,mb,105.0,1.222,0.63,us,us6000g85l,2021-12-01 09:20:55.040000+00:00,"104 km NW of San Antonio de los Cobres, Argentina",earthquake,10.3,9.3,0.24,5.0,reviewed,us,us
2021-12-01 08:40:48.535000+00:00,31.151,142.4393,10.0,4.9,mb,93.0,2.965,0.96,us,us6000g85m,2021-12-01 08:58:49.040000+00:00,"Izu Islands, Japan region",earthquake,9.8,1.9,0.043,170.0,reviewed,us,us
2021-12-01 08:21:17.156000+00:00,12.7235,-88.7959,50.25,4.4,mb,154.0,0.872,1.09,us,us6000g85g,2021-12-01 08:34:14.040000+00:00,"67 km SSW of Puerto El Triunfo, El Salvador",earthquake,3.6,9.3,0.049,122.0,reviewed,us,us
2021-12-01 08:16:37.040000+00:00,35.9526667,-89.9236667,11.22,2.64,md,41.0,0.037939999999999995,0.11,nm,nm60364612,2021-12-02 02:03:39.054000+00:00,"2 km N of Blytheville, Arkansas",earthquake,0.18,0.31,0.078,52.0,reviewed,nm,nm
2021-12-01 07:55:42.341000+00:00,31.6615,-104.3893,6.9,3.1,ml,62.0,0.095,0.36,us,us6000g85a,2021-12-01 08:09:39.040000+00:00,"57 km S of Whites City, New Mexico",earthquake,0.9,3.4,0.048,56.0,reviewed,us,us
2021-12-01 06:59:01.430000+00:00,18.024,-66.7716,14.0,2.54,md,74.0,0.1182,0.19,pr,pr2021335002,2021-12-01 07:18:26.689000+00:00,"0 km NNW of Magas Arriba, Puerto Rico",earthquake,0.29,0.41,0.21,10.0,reviewed,pr,pr
2021-12-01 06:30:08.488000+00:00,-23.9685,-67.2354,230.48,4.1,mb,92.0,1.3319999999999999,0.72,us,us6000g84l,2021-12-01 12:06:17.040000+00:00,"97 km WNW of San Antonio de los Cobres, Argentina",earthquake,11.7,12.4,0.301,5.0,reviewed,us,us
2021-12-01 06:04:53.754000+00:00,35.2214,141.3954,10.0,4.9,mb,121.0,2.476,0.95,us,us6000g83u,2021-12-01 11:10:52.077000+00:00,"76 km SE of Hasaki, Japan",earthquake,5.3,1.9,0.05,128.0,reviewed,us,us
2021-12-01 05:08:38.311000+00:00,35.2588,141.3482,39.67,4.5,mb,100.0,2.487,0.77,us,us6000g83b,2021-12-01 09:43:43.040000+00:00,"70 km SE of Hasaki, Japan",earthquake,6.7,7.9,0.136,16.0,reviewed,us,us
2021-12-01 04:49:10.178000+00:00,-37.9149,-73.6928,15.94,4.5,mb,153.0,1.2309999999999999,0.52,us,us6000g837,2021-12-01 23:03:09.040000+00:00,"28 km WSW of Cañete, Chile",earthquake,5.8,4.2,0.136,16.0,reviewed,us,us
2021-12-01 04:39:24.903000+00:00,-37.9268,-73.6241,15.18,5.1,mww,68.0,1.226,0.61,us,us6000g836,2021-12-01 23:35:22.039000+00:00,"Near the coast of Bio-Bio, Chile",earthquake,5.3,2.8,0.047,43.0,reviewed,us,us
2021-12-01 04:09:18.467000+00:00,35.1775,141.3611,35.0,4.6,mb,134.0,2.424,0.62,us,us6000g835,2021-12-01 23:52:01.040000+00:00,"78 km SE of Hasaki, Japan",earthquake,7.6,2.0,0.087,40.0,reviewed,us,us
2021-12-01 03:46:11.518000+00:00,38.7192,70.2525,10.0,4.6,mb,49.0,1.406,0.88,us,us6000g832,2021-12-01 23:44:30.040000+00:00,"29 km ESE of Darband, Tajikistan",earthquake,4.9,1.9,0.083,44.0,reviewed,us,us
2021-12-01 03:30:13.360000+00:00,38.7928352,-122.7304993,1.93,2.55,md,47.0,0.01075,0.06,nc,nc73658306,2021-12-01 12:40:42.763000+00:00,"3km NE of The Geysers, CA",earthquake,0.14,0.26,0.18,37.0,automatic,nc,nc
2021-12-01 03:25:16.312000+00:00,56.312,-156.6507,35.5,3.1,ml,,,0.51,ak,ak021fe2yyce,2021-12-01 21:55:51.040000+00:00,"108 km E of Chignik, Alaska",earthquake,,7.0,,,automatic,ak,ak
2021-12-01 02:21:42.667000+00:00,-22.8301,-63.8273,545.0,4.2,mb,58.0,5.212000000000001,0.52,us,us6000g82m,2021-12-01 02:36:34.040000+00:00,"25 km S of General Mosconi, Argentina",earthquake,11.2,17.4,0.187,8.0,reviewed,us,us
2021-12-01 02:20:07.970000+00:00,17.9615,-66.7826,18.0,2.79,md,183.0,0.0975,0.1,pr,pr2021335000,2021-12-01 03:39:45.102000+00:00,"5 km SE of Indios, Puerto Rico",earthquake,0.52,0.4,0.23,8.0,reviewed,pr,pr
2021-12-01 01:42:58.711000+00:00,67.6747,-161.6608,24.16,2.9,ml,97.0,0.607,0.44,us,us6000g82k,2021-12-01 02:19:00.040000+00:00,"56 km E of Noatak, Alaska",earthquake,6.2,6.4,0.06,36.0,reviewed,us,us
2021-12-01 01:39:48.580000+00:00,35.6755,-117.52416670000001,9.49,2.78,ml,69.0,0.1022,0.11,ci,ci39875151,2021-12-01 16:47:52.217000+00:00,"15km SW of Searles Valley, CA",earthquake,0.14,0.37,0.182,25.0,reviewed,ci,ci
2021-12-01 01:38:16.371000+00:00,-29.6435,-176.8696,22.5,4.7,mb,92.0,0.992,0.86,us,us6000g82i,2021-12-01 01:59:17.040000+00:00,Kermadec Islands region,earthquake,6.1,6.7,0.12300000000000001,20.0,reviewed,us,us
2021-12-01 01:23:41.210000+00:00,35.676333299999996,-117.5245,9.12,3.19,ml,69.0,0.10300000000000001,0.13,ci,ci39875135,2021-12-01 21:11:58.206000+00:00,"15km SW of Searles Valley, CA",earthquake,0.13,0.34,0.136,269.0,reviewed,ci,ci
2021-11-30 23:30:07.680000+00:00,35.1573,141.6064,10.0,4.6,mb,178.0,2.521,0.61,us,us6000g81t,2021-11-30 23:53:29.040000+00:00,"94 km SE of Hasaki, Japan",earthquake,8.1,1.9,0.11599999999999999,22.0,reviewed,us,us
2021-11-30 23:17:45.065000+00:00,22.9471,121.7076,4.8,4.6,mb,100.0,0.5820000000000001,0.65,us,us6000g81m,2021-12-01 01:18:33.040000+00:00,Taiwan region,earthquake,5.5,4.9,0.077,50.0,reviewed,us,us
2021-11-30 22:38:23.920000+00:00,17.937,-66.8553,10.0,2.88,md,194.0,0.045,0.21,pr,pr2021334009,2021-11-30 22:51:15.947000+00:00,"5 km SE of Maria Antonia, Puerto Rico",earthquake,0.57,0.53,0.24,9.0,reviewed,pr,pr
2021-11-30 22:20:53.903000+00:00,27.164,53.2649,10.0,4.3,mb,115.0,3.445,0.56,us,us6000g817,2021-12-01 00:00:58.040000+00:00,"57 km SE of Mohr, Iran",earthquake,9.2,1.9,0.102,27.0,reviewed,us,us
2021-11-30 21:39:35.164000+00:00,28.3881,104.969,10.0,4.7,mb,72.0,4.376,0.57,us,us6000g80u,2021-11-30 22:17:53.040000+00:00,"25 km ESE of Xunchang, China",earthquake,3.6,1.9,0.08,47.0,reviewed,us,us
2021-11-30 21:20:52.803000+00:00,31.67953464,-104.4051758,7.494091797,3.3,ml,69.0,0.082225578,0.2,tx,tx2021xmau,2021-11-30 21:53:42.756000+00:00,"55 km S of Whites City, New Mexico",earthquake,1.172534204,1.718476605,0.2,12.0,reviewed,tx,tx
2021-11-30 21:14:40.880000+00:00,17.9833,-67.0006,8.0,2.9,md,150.0,0.0458,0.24,pr,pr2021334008,2021-11-30 21:29:02.731000+00:00,"4 km E of La Parguera, Puerto Rico",earthquake,0.46,0.78,0.28,18.0,reviewed,pr,pr
2021-11-30 21:06:36.966000+00:00,31.6566,-104.38,5.0,2.6,ml,62.0,0.10300000000000001,0.45,us,us6000g80b,2021-11-30 23:27:05.040000+00:00,"57 km S of Whites City, New Mexico",earthquake,1.1,1.9,0.069,58.0,reviewed,us,us
2021-11-30 20:49:11.306000+00:00,31.1432,142.5861,10.0,4.9,mb,93.0,3.065,0.89,us,us6000g807,2021-11-30 21:10:02.040000+00:00,"Izu Islands, Japan region",earthquake,9.6,1.9,0.046,156.0,reviewed,us,us
2021-11-30 20:38:47.017000+00:00,31.1819,142.3725,10.0,4.6,mb,96.0,6.087000000000001,0.49,us,us6000g80f,2021-11-30 21:19:04.040000+00:00,"Izu Islands, Japan region",earthquake,11.4,1.9,0.08,49.0,reviewed,us,us
2021-11-30 20:31:29.650000+00:00,17.9696,-66.7893,18.0,2.74,md,163.0,0.0901,0.17,pr,pr2021334007,2021-11-30 20:58:34.350000+00:00,Puerto Rico region,earthquake,0.49,0.54,0.3,8.0,reviewed,pr,pr
2021-11-30 20:09:36.020000+00:00,43.2559,-126.9213,10.0,3.0,ml,235.0,1.665,0.65,us,us6000g7zq,2021-11-30 22:46:34.040000+00:00,"204 km W of Langlois, Oregon",earthquake,9.2,2.0,0.038,89.0,reviewed,us,us
2021-11-30 19:37:34.756000+00:00,44.9932,-113.0791,9.37,3.3,ml,22.0,0.23199999999999998,0.68,us,us6000g7ze,2021-11-30 22:09:31.360000+00:00,"41 km NNE of Leadore, Idaho",earthquake,2.0,8.4,0.033,124.0,reviewed,us,us
2021-11-30 19:04:25.810000+00:00,17.9516,-66.9306,5.0,2.55,md,211.0,0.0565,0.11,pr,pr2021334006,2021-11-30 19:43:43.564000+00:00,"3 km SW of Guánica, Puerto Rico",earthquake,0.51,0.38,0.28,5.0,reviewed,pr,pr
2021-11-30 18:36:03.380000+00:00,18.93216667,-155.3385,44.27,2.89,md,242.0,,0.13,hv,hv72817797,2021-11-30 22:52:17.550000+00:00,"Hawaii region, Hawaii",earthquake,0.58,0.82,0.08432851,19.0,reviewed,hv,hv
2021-11-30 18:27:38.502000+00:00,31.1598,142.2631,10.0,5.0,mb,29.0,2.8489999999999998,0.83,us,us6000g7z5,2021-11-30 18:50:01.040000+00:00,"Izu Islands, Japan region",earthquake,7.6,1.7,0.040999999999999995,203.0,reviewed,us,us
2021-11-30 18:02:56.173000+00:00,36.472,70.7294,197.08,4.2,mb,73.0,0.6629999999999999,1.2,us,us6000g7yx,2021-11-30 18:57:49.040000+00:00,"44 km SSW of Jurm, Afghanistan",earthquake,4.9,5.1,0.1,31.0,reviewed,us,us
2021-11-30 17:52:19.760000+00:00,17.9951,-66.7335,11.0,3.29,md,144.0,0.1359,0.21,pr,pr2021334005,2021-12-01 03:44:51.752000+00:00,"1 km W of Tallaboa, Puerto Rico",earthquake,0.38,0.29,0.18,18.0,reviewed,pr,pr
2021-11-30 17:35:38.014000+00:00,13.7164,120.8572,137.92,4.6,mb,55.0,9.054,0.89,us,us6000g7xq,2021-11-30 23:18:23.004000+00:00,"3 km WNW of Bagalangit, Philippines",earthquake,10.2,6.7,0.059000000000000004,93.0,reviewed,us,us
2021-11-30 17:30:59.844000+00:00,62.4626,-148.877,35.0,3.3,ml,,,0.61,ak,ak021fcnsuak,2021-11-30 20:13:54.040000+00:00,"60 km ENE of Susitna North, Alaska",earthquake,,5.9,,,automatic,ak,ak
2021-11-30 17:08:03.465000+00:00,61.5148,-140.7256,3.29,2.5,ml,61.0,0.642,0.5,us,us6000g7xb,2021-11-30 19:28:07.040000+00:00,"117 km E of McCarthy, Alaska",earthquake,2.1,8.1,0.036000000000000004,102.0,reviewed,us,us
2021-11-30 16:50:02.950000+00:00,18.88583333,-155.22033330000002,6.17,2.77,ml,257.0,,0.16,hv,hv72817682,2021-11-30 22:03:07.040000+00:00,"42 km ESE of Naalehu, Hawaii",earthquake,0.4,0.44,0.20107833600000002,16.0,reviewed,hv,hv
2021-11-30 16:07:02.280000+00:00,37.1636658,-121.5575027,1.36,2.74,md,37.0,0.05508,0.1,nc,nc73660155,2021-12-01 16:01:51.260000+00:00,"9km ENE of Morgan Hill, CA",earthquake,0.19,0.69,0.12,70.0,automatic,nc,nc
2021-11-30 16:02:53.956000+00:00,36.2001,140.2328,71.56,4.9,mb,190.0,1.6680000000000001,0.49,us,us6000g7x3,2021-11-30 17:08:17.040000+00:00,"3 km WNW of Ishioka, Japan",earthquake,10.7,9.8,0.14,19.0,reviewed,us,us
2021-11-30 16:00:45.340000+00:00,17.9618,-67.01100000000001,10.0,3.02,md,185.0,0.0341,0.18,pr,pr2021334004,2021-11-30 16:55:33.040000+00:00,"4 km ESE of La Parguera, Puerto Rico",earthquake,0.51,0.38,0.15,15.0,reviewed,pr,pr
2021-11-30 15:55:36.507000+00:00,35.1816,141.5267,10.0,4.6,mb,138.0,2.503,0.57,us,us6000g7x1,2021-11-30 16:41:22.040000+00:00,"87 km SE of Hasaki, Japan",earthquake,7.8,1.9,0.126,23.0,reviewed,us,us
2021-11-30 15:41:11.295000+00:00,31.1773,142.2848,10.0,4.7,mb,92.0,2.85,0.36,us,us6000g7ww,2021-11-30 16:26:57.040000+00:00,"Izu Islands, Japan region",earthquake,9.6,1.9,0.063,80.0,reviewed,us,us
2021-11-30 15:03:31.570000+00:00,18.834,-155.19766669999998,9.73,3.49,ml,266.0,,0.17,hv,hv72817622,2021-12-01 15:04:59.166000+00:00,"47 km ESE of Naalehu, Hawaii",earthquake,0.64,0.69,0.156109129,37.0,reviewed,hv,hv
2021-11-30 14:20:22.130000+00:00,38.3737,22.2132,10.0,4.6,mb,80.0,0.653,0.67,us,us6000g7wf,2021-11-30 19:47:47.040000+00:00,"14 km W of Galaxídhion, Greece",earthquake,4.8,1.9,0.114,26.0,reviewed,us,us
2021-11-30 13:53:41.677000+00:00,31.7789,87.9411,10.0,5.4,mb,35.0,3.931,0.83,us,us6000g7wd,2021-12-01 13:56:52.324000+00:00,"294 km NNW of Rikaze, China",earthquake,8.2,1.8,0.043,192.0,reviewed,us,us
2021-11-30 13:46:52.279000+00:00,-3.5389999999999997,151.1354,10.0,4.9,mb,38.0,1.213,0.31,us,us6000g7wc,2021-11-30 14:36:55.040000+00:00,"113 km SSE of Kavieng, Papua New Guinea",earthquake,5.4,1.9,0.11900000000000001,25.0,reviewed,us,us
2021-11-30 12:41:09.472000+00:00,58.8359,-152.8756,48.8,3.3,ml,,,0.52,ak,ak021fckvx9v,2021-11-30 15:17:10.040000+00:00,"79 km SW of Nanwalek, Alaska",earthquake,,0.8,,,automatic,ak,ak
2021-11-30 12:16:32.908000+00:00,-11.2962,118.1941,10.0,4.2,mb,91.0,4.78,0.52,us,us6000g7w3,2021-11-30 12:57:26.040000+00:00,"290 km SW of Waingapu, Indonesia",earthquake,9.0,2.0,0.23600000000000002,5.0,reviewed,us,us
2021-11-30 12:14:34.418000+00:00,-3.5445,151.3439,10.0,5.8,mww,60.0,1.04,0.89,us,us6000g7w4,2021-12-01 12:17:55.107000+00:00,"116 km NW of Rabaul, Papua New Guinea",earthquake,7.1,1.8,0.075,17.0,reviewed,us,us
2021-11-30 11:37:13.280000+00:00,17.9795,-67.00399999999999,10.0,2.7,md,155.0,0.0415,0.15,pr,pr2021334003,2021-11-30 11:52:24.629000+00:00,"4 km E of La Parguera, Puerto Rico",earthquake,0.45,0.59,0.16,10.0,reviewed,pr,pr
2021-11-30 11:14:41.125000+00:00,-24.7136,-69.6022,133.22,4.3,mb,67.0,0.7340000000000001,0.77,us,us6000g7vh,2021-11-30 12:19:13.040000+00:00,"117 km NE of Taltal, Chile",earthquake,6.8,8.5,0.201,7.0,reviewed,us,us
2021-11-30 11:14:07.887000+00:00,-3.6027,151.0822,10.0,5.0,mb,70.0,1.227,0.63,us,us6000g7vl,2021-11-30 16:29:56.414000+00:00,"118 km SSE of Kavieng, Papua New Guinea",earthquake,7.9,1.9,0.083,49.0,reviewed,us,us
2021-11-30 11:10:41.928000+00:00,32.2147,142.1167,10.0,4.9,mb,206.0,2.1390000000000002,0.44,us,us6000g7vj,2021-11-30 11:57:33.040000+00:00,"Izu Islands, Japan region",earthquake,10.0,1.9,0.17600000000000002,10.0,reviewed,us,us
2021-11-30 11:09:38.749000+00:00,-3.8582,151.5681,10.0,5.0,mb,87.0,0.68,0.85,us,us6000g7vi,2021-11-30 11:47:39.040000+00:00,"76 km WNW of Rabaul, Papua New Guinea",earthquake,7.1,1.9,0.083,46.0,reviewed,us,us
2021-11-30 10:52:17.579000+00:00,-3.5956,150.8695,10.0,5.0,mb,88.0,1.42,0.5,us,us6000g7vp,2021-11-30 12:04:12.040000+00:00,"113 km S of Kavieng, Papua New Guinea",earthquake,3.9,1.9,0.09300000000000001,37.0,reviewed,us,us
